Anuncio;Plataforma;Verba;Custo por clique;Valor total gasto ;usuarios atingidos;Impressoes;Cliques
 Electric Spiralizer;Facebook;750;0,076065;750;112659;166272;9860
 Electric Spiralizer;Instagram;750;0,071777;750;220499;256918;10449
 Kit Chrome Pink;Facebook;750;0,195109;750;193399;307021;3844
 Kit Chrome Pink;Instagram;750;0,332447;750;384989;437398;2256
 Pipoqueira;Facebook;750;0,121104;750;138027;174640;6193
 Pipoqueira;Instagram;750;0,261963;750;182322;199748;2863
 Monster Sound Speaker;Facebook;750;0,091366;31,43;9969;10301;344
 Kit Fitness;Facebook;750;0,129556;750;157717;248822;5789
 Kit Fitness;Instagram;750;0,104749;750;266621;305942;7160
